+----+-----+-----+
|year|month|count|
|1993|   10|  214|
|2012|   04|  218|
|2010|   04|  223|
|1988|   04|  223|
|2015|   04|  224|
|2008|   10|  227|
|1999|   11|  228|
|1979|   04|  228|
|1997|   10|  230|
|1998|   10|  234|
|2006|   04|  234|
|1974|   03|  234|
|2001|   04|  235|
|1978|   11|  235|
|1983|   04|  239|
|1977|   04|  241|
|2015|   10|  242|
|1971|   11|  244|
|1989|   10|  245|
|1978|   04|  245|
|1999|   10|  246|
|1983|   10|  246|
|2012|   10|  246|
|1973|   04|  246|
|1961|   04|  247|
|1968|   10|  249|
|1971|   04|  251|
|2016|   07|  252|
|1982|   04|  252|
|1981|   04|  253|
|2014|   04|  254|
|1980|   10|  255|
|2005|   04|  256|
|2004|   10|  258|
|1972|   04|  262|
|2016|   06|  263|
|2016|   05|  263|
|1987|   04|  263|
|2007|   04|  264|
|1980|   04|  265|
|1994|   10|  265|
|1961|   07|  266|
|1996|   04|  266|
|1986|   04|  266|
|1991|   04|  267|
|1961|   06|  268|
|1961|   05|  268|
|1961|   10|  268|
|1966|   10|  269|
|2007|   10|  269|
|1964|   04|  269|
|1961|   08|  269|
|2004|   04|  269|
|1961|   09|  269|
|1994|   04|  271|
|2013|   10|  271|
|1992|   10|  272|
|2014|   10|  272|
|2015|   05|  272|
|2000|   04|  273|
|1976|   10|  273|
|1975|   04|  274|
|1962|   04|  274|
|1989|   04|  274|
|1979|   10|  275|
|1998|   04|  275|
|1991|   10|  275|
|2009|   04|  276|
|1993|   04|  279|
|1999|   04|  279|
|2015|   07|  280|
|2010|   10|  280|
|1973|   03|  281|
|1993|   09|  281|
|2006|   10|  281|
|2011|   10|  281|
|1990|   04|  281|
|1974|   10|  282|
|2001|   10|  282|
|2015|   06|  285|
|1963|   04|  286|
|1967|   04|  288|
|2015|   08|  288|
|2015|   09|  289|
|1993|   06|  289|
|2011|   04|  289|
|1995|   07|  291|
|1964|   10|  291|
|1993|   07|  291|
|1995|   05|  292|
|2002|   04|  292|
|1993|   05|  292|
|1988|   10|  292|
|1993|   08|  293|
|2003|   04|  293|
|1962|   05|  293|
|1991|   05|  294|
|1986|   07|  294|
|1995|   06|  294|
|1963|   10|  295|
|2014|   05|  296|
|2014|   09|  296|
|2014|   08|  296|
|1962|   06|  297|
|2014|   07|  297|
|2014|   06|  298|
|2008|   04|  298|
|1964|   09|  298|
|1990|   10|  298|
|2013|   09|  299|
|2005|   10|  299|
|1994|   09|  299|
|1994|   05|  299|
|1962|   09|  300|
|1994|   08|  300|
|2013|   08|  300|
|1969|   04|  300|
|1962|   07|  300|
|2007|   05|  300|
|1964|   08|  300|
|1964|   07|  301|
|1976|   04|  301|
|1986|   10|  301|
|2007|   09|  301|
|2013|   07|  301|
|1962|   08|  301|
|2013|   05|  301|
|1996|   10|  302|
|2008|   09|  302|
|1994|   07|  302|
|2013|   06|  302|
|2007|   08|  302|
|1995|   10|  303|
|1994|   06|  303|
|2007|   06|  303|
|1964|   06|  303|
|2005|   05|  303|
|2007|   07|  304|
|1986|   08|  304|
|1985|   07|  304|
|1992|   09|  304|
|1964|   05|  305|
|1977|   10|  305|
|1962|   10|  305|
|1988|   07|  306|
|2012|   09|  306|
|2005|   08|  306|
|2005|   07|  307|
|2005|   09|  307|
|2006|   05|  307|
|2009|   05|  308|
|1990|   07|  308|
|2012|   05|  308|
|1963|   07|  308|
|2006|   09|  309|
|2006|   08|  309|
|1990|   05|  309|
|2009|   06|  310|
|2012|   08|  310|
|1963|   09|  310|
|1963|   06|  310|
|2006|   07|  310|
|1992|   08|  310|
|1992|   06|  310|
|2006|   06|  310|
|1963|   05|  310|
|2012|   07|  310|
|1965|   04|  310|
|2012|   06|  310|
|1992|   07|  311|
|1963|   08|  311|
|1992|   05|  311|
|2005|   06|  311|
|2009|   08|  311|
|1966|   04|  311|
|1990|   09|  312|
|1989|   07|  312|
|2009|   07|  312|
|2009|   09|  312|
|1984|   07|  312|
|1990|   06|  313|
|1991|   09|  313|
|2008|   08|  313|
|1984|   04|  313|
|2008|   07|  314|
|1986|   06|  314|
|1985|   08|  314|
|1991|   08|  315|
|1989|   06|  315|
|1995|   09|  315|
|2011|   09|  315|
|1991|   07|  315|
|1988|   09|  315|
|2001|   05|  316|
|1989|   09|  316|
|2011|   08|  316|
|2010|   09|  316|
|2011|   05|  316|
|2000|   10|  316|
|1989|   08|  316|
|1990|   08|  316|
|2008|   06|  316|
|1988|   08|  316|
|2008|   05|  316|
|1986|   05|  317|
|1985|   10|  318|
|2011|   06|  318|
|1989|   05|  318|
|1995|   08|  318|
|1982|   10|  318|
|2010|   08|  318|
|1984|   08|  318|
|2010|   07|  318|
|1987|   10|  319|
|2004|   07|  319|
|2011|   07|  319|
|1987|   07|  319|
|2004|   06|  319|
|2010|   05|  319|
|1983|   07|  319|
|2000|   07|  320|
|2004|   08|  320|
|2003|   08|  320|
|1987|   08|  320|
|2010|   06|  320|
|1988|   05|  320|
|2003|   09|  320|
