+----+-----+------+
|year|month| count|
|1956|   05| 12696|
|1951|   07| 12760|
|1999|   04| 13010|
|1978|   10| 13057|
|1959|   05| 13138|
|2005|   04| 13190|
|1957|   09| 13243|
|2002|   04| 13244|
|1997|   10| 13322|
|1952|   07| 13585|
|1962|   05| 13893|
|2015|   04| 13995|
|1954|   06| 14039|
|1951|   08| 14061|
|1969|   10| 14305|
|1971|   10| 14650|
|1991|   10| 14675|
|1975|   10| 14775|
|2004|   04| 14868|
|1960|   05| 14918|
|1977|   10| 15108|
|1953|   06| 15278|
|1965|   10| 15612|
|1962|   10| 15858|
|2010|   10| 15866|
|2004|   10| 16027|
|1953|   08| 16080|
|1956|   09| 16118|
|1959|   09| 16150|
|1954|   08| 16338|
|1953|   07| 16457|
|2000|   04| 16492|
|1968|   05| 16623|
|1954|   07| 16778|
|1960|   09| 16808|
|1990|   10| 16976|
|1985|   10| 17017|
|1965|   05| 17236|
|2008|   04| 17474|
|1989|   10| 17690|
|1955|   06| 17869|
|1987|   05| 17996|
|1961|   05| 18010|
|1995|   05| 18376|
|2007|   10| 18619|
|1987|   10| 18683|
|1958|   09| 18713|
|2012|   10| 19135|
|1999|   10| 19156|
|1957|   06| 19553|
|1955|   09| 19703|
|1984|   10| 19880|
|1969|   05| 19973|
|1967|   10| 20044|
|2007|   04| 20067|
|1958|   06| 20332|
|2014|   04| 20408|
|1991|   05| 20591|
|1993|   09| 20825|
|1956|   06| 21633|
|1996|   05| 22230|
|1982|   05| 22259|
|1994|   05| 22279|
|1959|   06| 22449|
|1956|   08| 22474|
|1961|   10| 22907|
|1980|   05| 23026|
|1972|   05| 23085|
|1967|   05| 23674|
|2009|   04| 23920|
|1996|   10| 23954|
|1959|   08| 23997|
|1966|   05| 24293|
|1960|   06| 24302|
|2015|   10| 24430|
|1985|   05| 24468|
|1955|   08| 24733|
|1957|   08| 24829|
|1956|   07| 24835|
|1958|   07| 24923|
|1960|   08| 24979|
|1955|   07| 25149|
|1970|   05| 25240|
|1959|   07| 25576|
|1958|   08| 25844|
|1960|   07| 25869|
|1977|   05| 25984|
|1957|   07| 26092|
|2011|   10| 26630|
|1986|   09| 27198|
|2008|   10| 27225|
|1962|   09| 27349|
|1964|   09| 27594|
|1979|   05| 27842|
|1984|   09| 27853|
|1964|   05| 28140|
|1972|   09| 28459|
|2011|   04| 28693|
|1971|   05| 28806|
|1985|   09| 29142|
|1977|   09| 29149|
|1978|   05| 29517|
|1973|   05| 29555|
|1976|   09| 29591|
|1961|   09| 29960|
|1983|   05| 30109|
|1963|   05| 30197|
|1978|   09| 30215|
|1973|   09| 30533|
|1974|   05| 30695|
|1997|   05| 30815|
|1986|   05| 30824|
|1966|   09| 31606|
|1971|   09| 31823|
|1970|   09| 32340|
|1975|   05| 33103|
|1968|   09| 33327|
|2005|   10| 33681|
|1976|   05| 33936|
|1995|   10| 34047|
|1969|   09| 34183|
|1992|   05| 34325|
|1979|   09| 34870|
|1994|   09| 34894|
|1990|   05| 35304|
|1990|   09| 35374|
|1993|   05| 35617|
|1981|   05| 36033|
|2015|   05| 36312|
|1987|   09| 36363|
|1988|   05| 36597|
|1989|   05| 37040|
|1984|   05| 37106|
|1963|   09| 37394|
|1999|   05| 37809|
|1961|   06| 38097|
|1981|   09| 38278|
|1982|   09| 38346|
|1961|   08| 38829|
|2013|   10| 38937|
|1991|   09| 39021|
|1962|   06| 39056|
|1983|   09| 39730|
|1961|   07| 39821|
|1993|   06| 40091|
|1982|   06| 40120|
|2005|   05| 40508|
|1992|   09| 40886|
|1964|   06| 41802|
|1967|   09| 42677|
|1980|   09| 43286|
|2014|   10| 43359|
|1965|   09| 43772|
|1994|   06| 44057|
|1963|   06| 44378|
|2001|   05| 44819|
|1986|   08| 44862|
|2001|   10| 44873|
|1964|   08| 44882|
|2006|   10| 44892|
|1962|   08| 44960|
|1998|   05| 44985|
|1996|   09| 45183|
|1985|   06| 45755|
|1981|   06| 46302|
|1962|   07| 46625|
|1967|   06| 46669|
|1969|   06| 46706|
|2006|   05| 46748|
|1995|   09| 46831|
|1987|   06| 46959|
|1971|   06| 47448|
|1991|   06| 47472|
|1964|   07| 47541|
|1974|   09| 48621|
|2004|   05| 49113|
|2003|   05| 49447|
|1995|   06| 49783|
|1963|   07| 49850|
|1965|   06| 49916|
|1984|   06| 49936|
|1983|   06| 50053|
|1975|   06| 50205|
|1963|   08| 50485|
|1975|   09| 50514|
|2007|   05| 50541|
|1965|   07| 50890|
|1989|   09| 51146|
|1965|   08| 51189|
|1972|   06| 51306|
|1968|   06| 51948|
|1966|   08| 52147|
|1970|   06| 52255|
|1968|   08| 52278|
|1966|   06| 52444|
|1988|   09| 52494|
|2000|   10| 52501|
|1993|   08| 52583|
|1986|   06| 52843|
|1977|   06| 52848|
|1984|   08| 52946|
|2010|   05| 53027|
|1995|   07| 53679|
|1968|   07| 53705|
|1983|   08| 53816|
|2012|   05| 53960|
|1981|   08| 54226|
|1971|   08| 54383|
|1967|   07| 54385|
|1972|   08| 54764|
|1984|   07| 54858|
|1969|   07| 54941|
|1967|   08| 55261|
|1970|   08| 55365|
|1994|   08| 55467|
|1971|   07| 55662|
|1978|   08| 55756|
|1969|   08| 55802|
|1976|   06| 55976|
|1966|   07| 56062|
|1986|   07| 56146|
|1978|   06| 56672|
|1985|   08| 56699|
|1970|   07| 56699|
|1980|   06| 56828|
|1985|   07| 57016|
|1974|   06| 57023|
|1982|   08| 57086|
|1983|   07| 57172|
|1979|   08| 57178|
|1979|   06| 57325|
|1980|   08| 57491|
|1982|   07| 58176|
|2014|   05| 58340|
|2008|   05| 58438|
|1977|   08| 58772|
|1990|   06| 59321|
|1987|   08| 59568|
|2000|   05| 59592|
|1981|   07| 59911|
|1977|   07| 59987|
|1980|   07| 60062|
|1972|   07| 60123|
|2011|   05| 60425|
|1993|   07| 60476|
|1973|   08| 60803|
|1994|   07| 60928|
|1973|   06| 60939|
|1992|   06| 61114|
|1992|   08| 61133|
|1979|   07| 61237|
|1978|   07| 61562|
|1989|   06| 61745|
|2009|   05| 62118|
|1976|   08| 62130|
|2008|   09| 62247|
|2007|   09| 62572|
|2016|   05| 63300|
|1992|   07| 63397|
|1975|   08| 63533|
|1988|   06| 64141|
|1976|   07| 64960|
|2000|   09| 65075|
|1975|   07| 65116|
|1974|   08| 65873|
|2002|   09| 66903|
|2002|   05| 67336|
|1974|   07| 67336|
|1995|   08| 67424|
|1990|   08| 68106|
|1989|   07| 68378|
|1989|   08| 68390|
|1987|   07| 68759|
|1990|   07| 70509|
|1988|   08| 70621|
|2003|   09| 71314|
|1991|   08| 71589|
|1973|   07| 71766|
|2012|   09| 71840|
|1991|   07| 73718|
|2004|   09| 74571|
|1997|   09| 75582|
|1988|   07| 75784|
|2010|   09| 76266|
|2005|   09| 76571|
|1998|   09| 77610|
|2001|   09| 81025|
|1996|   06| 81580|
|2013|   09| 83042|
|2013|   05| 83128|
